일시,아이디,자산군,평가액,투자비중
date,userid,asset_class,value,wt
1/10/2020 1:00:00 PM,A01,현금성,800000,1
1/10/2020 4:00:00 PM,A01,현금성,411800,0.508925380824302
1/10/2020 4:00:00 PM,A01,주식,119168.8,0.147275441773616
1/10/2020 4:00:00 PM,A01,채권,213244.2,0.263539061907658
1/10/2020 4:00:00 PM,A01,대체,64942.95,0.0802601154944235
2/11/2020 9:00:00 AM,A01,현금성,411800,0.505769680004264
2/11/2020 9:00:00 AM,A01,주식,122876,0.150915384167567
2/11/2020 9:00:00 AM,A01,채권,212180.7,0.260598748766588
2/11/2020 9:00:00 AM,A01,대체,67347.9,0.0827161870615813
