거래번호,일시,아이디,매매방향,종목코드,종목명,수량,가격,평가액,수수료,세금
trade_no,date,userid,BS,itemcode,itemname,quantity,price,value,fee,tax
A01-20200110-001,1/10/2020 2:00:00 PM,A01,S,C000001,현금,792200,1,792200,0,0
A01-20200110-002,1/10/2020 2:00:00 PM,A01,B,D000001,예금,400000,1,400000,0,0
A01-20200110-003,1/10/2020 2:00:00 PM,A01,B,A069500,KODEX 200,1,42095,42095,0,0
A01-20200110-004,1/10/2020 2:00:00 PM,A01,B,A360200,KINDEX 미국S&P500,7,10865,76055,0,0
A01-20200110-004,1/10/2020 2:00:00 PM,A01,B,A196230,KBSTAR 단기통안채,1,104325,104325,0,0
A01-20200110-005,1/10/2020 2:00:00 PM,A01,B,A302190,TIGER 중장기국채,2,52365,104730,0,0
A01-20200110-006,1/10/2020 2:00:00 PM,A01,B,A132030,KODEX 골드선물(H),3,11700,35100,0,0
A01-20200110-007,1/10/2020 2:00:00 PM,A01,B,A261240,KODEX 미국달러선물,3,9965,29895,0,0
A01-20200212-001,2/12/2020 10:30:00 AM,A01,S,A302190,TIGER 중장기국채,2,53500,107000,0,0
A01-20200212-002,2/12/2020 10:30:00 AM,A01,S,C000001,현금,5000,1,5000,0,0
A01-20200212-003,2/12/2020 10:30:00 AM,A01,B,A292150,TIGER TOP10,8,14000,112000,0,0
