date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-05-04,A114260,A001,안정추구형소규모,Fixed Income,KODEX 국고채3년,2,58040,116080,58015.0,116030.0,0.16578437886224165,,
2021-05-04,A122260,A001,안정추구형소규모,Fixed Income,KOSEF 통안채1년,2,101395,202790,101305.0,202610.0,0.289490416282675,,
2021-05-04,A130730,A001,안정추구형소규모,Fixed Income,KOSEF 단기자금,2,101110,202220,101100.0,202200.0,0.28890460575666005,,
2021-05-04,A196230,A001,안정추구형소규모,Fixed Income,KBSTAR 단기통안채,1,104430,104430,104435.0,104435.0,0.14921737142530558,,
2021-05-04,A069500,A001,안정추구형소규모,Equity,KODEX 200,1,42295,42295,42380.0,42380.0,0.06055280510369561,,
2021-05-04,A251350,A001,안정추구형소규모,Equity,KODEX 선진국MSCI World,1,18485,18485,18525.0,18525.0,0.02646863413275038,,
2021-05-04,A237370,A001,안정추구형소규모,Alternative,KODEX 배당성장채권혼합,1,12060,12060,12065.0,12065.0,0.017238546332611786,,
2021-05-04,C000001,A001,안정추구형소규모,Cash,현금,1640,1,1640,1.0,1640.0,0.0023432421040599526,,
2021-05-04,A114260,A002,안정추구형중규모,Fixed Income,KODEX 국고채3년,4,58040,232160,58015.0,232060.0,0.2320309961254843,,
2021-05-04,A122260,A002,안정추구형중규모,Fixed Income,KOSEF 통안채1년,2,101395,202790,101305.0,202610.0,0.20258467691538556,,
2021-05-04,A130730,A002,안정추구형중규모,Fixed Income,KOSEF 단기자금,2,101110,202220,101100.0,202200.0,0.20217472815898013,,
2021-05-04,A196230,A002,안정추구형중규모,Fixed Income,KBSTAR 단기통안채,1,104430,104430,104435.0,104435.0,0.10442194725659293,,
2021-05-04,A069500,A002,안정추구형중규모,Equity,KODEX 200,1,42295,42295,42380.0,42380.0,0.04237470316210474,,
2021-05-04,A251350,A002,안정추구형중규모,Equity,KODEX 선진국MSCI World,2,18485,36970,18525.0,37050.0,0.0370453693288339,,
2021-05-04,A273130,A002,안정추구형중규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,108550,108550,108445.0,108445.0,0.10843144606924135,,
2021-05-04,A237370,A002,안정추구형중규모,Alternative,KODEX 배당성장채권혼합,2,12060,24120,12065.0,24130.0,0.02412698412698413,,
2021-05-04,A292150,A002,안정추구형중규모,Equity,TIGER TOP10,2,14305,28610,14480.0,28960.0,0.028956380452443444,,
2021-05-04,C000001,A002,안정추구형중규모,Cash,현금,17855,1,17855,1.0,17855.0,0.017852768403949507,,
2021-05-04,A114260,A003,안정추구형대규모,Fixed Income,KODEX 국고채3년,5,58040,290200,58015.0,290075.0,0.2230942868020012,,
2021-05-04,A122260,A003,안정추구형대규모,Fixed Income,KOSEF 통안채1년,3,101395,304185,101305.0,303915.0,0.23373851649894056,,
2021-05-04,A130730,A003,안정추구형대규모,Fixed Income,KOSEF 단기자금,3,101110,303330,101100.0,303300.0,0.23326552507815895,,
2021-05-04,A196230,A003,안정추구형대규모,Fixed Income,KBSTAR 단기통안채,2,104430,208860,104435.0,208870.0,0.16064019196529858,,
2021-05-04,A069500,A003,안정추구형대규모,Equity,KODEX 200,2,42295,84590,42380.0,84760.0,0.06518821597634274,,
2021-05-04,A251350,A003,안정추구형대규모,Equity,KODEX 선진국MSCI World,3,18485,55455,18525.0,55575.0,0.04274227351209589,,
2021-05-04,A237370,A003,안정추구형대규모,Alternative,KODEX 배당성장채권혼합,2,12060,24120,12065.0,24130.0,0.0185581837129442,,
2021-05-04,A292150,A003,안정추구형대규모,Equity,TIGER TOP10,2,14305,28610,14480.0,28960.0,0.022272896822497473,,
2021-05-04,C000001,A003,안정추구형대규모,Cash,현금,650,1,650,1.0,650.0,0.0004999096317204198,,
2021-05-04,A114260,A004,위험중립형소규모,Fixed Income,KODEX 국고채3년,3,58040,174120,58015.0,174045.0,0.2483554274461679,,
2021-05-04,A148070,A004,위험중립형소규모,Fixed Income,KOSEF 국고채10년,1,119695,119695,119670.0,119670.0,0.17076442300831918,,
2021-05-04,A069500,A004,위험중립형소규모,Equity,KODEX 200,3,42295,126885,42380.0,127140.0,0.18142382168695328,,
2021-05-04,A251350,A004,위험중립형소규모,Equity,KODEX 선진국MSCI World,4,18485,73940,18525.0,74100.0,0.10573781018564762,,
2021-05-04,A273130,A004,위험중립형소규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,108550,108550,108445.0,108445.0,0.1547467857703449,,
2021-05-04,A157490,A004,위험중립형소규모,Equity,TIGER 소프트웨어,3,16730,50190,16805.0,50415.0,0.0719402388732716,,
2021-05-04,A292150,A004,위험중립형소규모,Equity,TIGER TOP10,2,14305,28610,14480.0,28960.0,0.04132479059347308,,
