date,userid,name,asset_class,itemcode,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
5/3/2021,A001,안정추구형소규모,Fixed Income,A114260,KODEX 국고채3년,2,58040,116080,58040,116080,0.16582857,,Rebal
5/3/2021,A001,안정추구형소규모,Fixed Income,A122260,KOSEF 통안채1년,2,101395,202790,101395,202790,0.2897,,Rebal
5/3/2021,A001,안정추구형소규모,Fixed Income,A130730,KOSEF 단기자금,2,101110,202220,101110,202220,0.2888857,,Rebal
5/3/2021,A001,안정추구형소규모,Fixed Income,A196230,KBSTAR 단기통안채,1,104430,104430,104430,104430,0.14918572,,Rebal
5/3/2021,A001,안정추구형소규모,Equity,A069500,KODEX 200,1,42295,42295,42295,42295,0.06042143,,Rebal
5/3/2021,A001,안정추구형소규모,Equity,A251350,KODEX 선진국MSCI World,1,18485,18485,18485,18485,0.026407143,,Rebal
5/3/2021,A001,안정추구형소규모,Alternative,A237370,KODEX 배당성장채권혼합,1,12060,12060,12060,12060,0.017228572,,Rebal
5/3/2021,A001,안정추구형소규모,Cash,C000001,현금,1640,1,1640,1,1640,0.0023428572,,Rebal
5/3/2021,A002,안정추구형중규모,Fixed Income,A114260,KODEX 국고채3년,4,58040,232160,58040,232160,0.23216,,Rebal
5/3/2021,A002,안정추구형중규모,Fixed Income,A122260,KOSEF 통안채1년,2,101395,202790,101395,202790,0.20279,,Rebal
5/3/2021,A002,안정추구형중규모,Fixed Income,A130730,KOSEF 단기자금,2,101110,202220,101110,202220,0.20222,,Rebal
5/3/2021,A002,안정추구형중규모,Fixed Income,A196230,KBSTAR 단기통안채,1,104430,104430,104430,104430,0.10443,,Rebal
5/3/2021,A002,안정추구형중규모,Equity,A069500,KODEX 200,1,42295,42295,42295,42295,0.042295,,Rebal
5/3/2021,A002,안정추구형중규모,Equity,A251350,KODEX 선진국MSCI World,2,18485,36970,18485,36970,0.03697,,Rebal
5/3/2021,A002,안정추구형중규모,Fixed Income,A273130,KODEX 종합채권(AA-이상)액티브,1,108550,108550,108550,108550,0.10855,,Rebal
5/3/2021,A002,안정추구형중규모,Alternative,A237370,KODEX 배당성장채권혼합,2,12060,24120,12060,24120,0.02412,,Rebal
5/3/2021,A002,안정추구형중규모,Equity,A292150,TIGER TOP10,2,14305,28610,14305,28610,0.02861,,Rebal
5/3/2021,A002,안정추구형중규모,Cash,C000001,현금,17855,1,17855,1,17855,0.017855,,Rebal
5/3/2021,A003,안정추구형대규모,Fixed Income,A114260,KODEX 국고채3년,5,58040,290200,58040,290200,0.22323076,,Rebal
5/3/2021,A003,안정추구형대규모,Fixed Income,A122260,KOSEF 통안채1년,3,101395,304185,101395,304185,0.23398846,,Rebal
5/3/2021,A003,안정추구형대규모,Fixed Income,A130730,KOSEF 단기자금,3,101110,303330,101110,303330,0.23333077,,Rebal
5/3/2021,A003,안정추구형대규모,Fixed Income,A196230,KBSTAR 단기통안채,2,104430,208860,104430,208860,0.16066153,,Rebal
5/3/2021,A003,안정추구형대규모,Equity,A069500,KODEX 200,2,42295,84590,42295,84590,0.06506923,,Rebal
5/3/2021,A003,안정추구형대규모,Equity,A251350,KODEX 선진국MSCI World,3,18485,55455,18485,55455,0.042657692,,Rebal
5/3/2021,A003,안정추구형대규모,Alternative,A237370,KODEX 배당성장채권혼합,2,12060,24120,12060,24120,0.018553846,,Rebal
5/3/2021,A003,안정추구형대규모,Equity,A292150,TIGER TOP10,2,14305,28610,14305,28610,0.022007693,,Rebal
5/3/2021,A003,안정추구형대규모,Cash,C000001,현금,650,1,650,1,650,0.0005,,Rebal
5/3/2021,A004,위험중립형소규모,Fixed Income,A114260,KODEX 국고채3년,3,58040,174120,58040,174120,0.24874286,,Rebal
5/3/2021,A004,위험중립형소규모,Fixed Income,A148070,KOSEF 국고채10년,1,119695,119695,119695,119695,0.17099285,,Rebal
5/3/2021,A004,위험중립형소규모,Equity,A069500,KODEX 200,3,42295,126885,42295,126885,0.18126428,,Rebal
5/3/2021,A004,위험중립형소규모,Equity,A251350,KODEX 선진국MSCI World,4,18485,73940,18485,73940,0.10562857,,Rebal
5/3/2021,A004,위험중립형소규모,Fixed Income,A273130,KODEX 종합채권(AA-이상)액티브,1,108550,108550,108550,108550,0.15507142,,Rebal
5/3/2021,A004,위험중립형소규모,Equity,A157490,TIGER 소프트웨어,3,16730,50190,16730,50190,0.0717,,Rebal
5/3/2021,A004,위험중립형소규모,Equity,A292150,TIGER TOP10,2,14305,28610,14305,28610,0.04087143,,Rebal
5/3/2021,A004,위험중립형소규모,Alternative,A237370,KODEX 배당성장채권혼합,1,12060,12060,12060,12060,0.017228572,,Rebal
5/3/2021,A004,위험중립형소규모,Cash,C000001,현금,5950,1,5950,1,5950,0.0085,,Rebal
5/3/2021,A005,위험중립형중규모,Fixed Income,A114260,KODEX 국고채3년,4,58040,232160,58040,232160,0.23216,,Rebal
5/3/2021,A005,위험중립형중규모,Fixed Income,A148070,KOSEF 국고채10년,2,119695,239390,119695,239390,0.23939,,Rebal
5/3/2021,A005,위험중립형중규모,Equity,A069500,KODEX 200,4,42295,169180,42295,169180,0.16918,,Rebal
5/3/2021,A005,위험중립형중규모,Equity,A251350,KODEX 선진국MSCI World,6,18485,110910,18485,110910,0.11091,,Rebal
5/3/2021,A005,위험중립형중규모,Fixed Income,A273130,KODEX 종합채권(AA-이상)액티브,1,108550,108550,108550,108550,0.10855,,Rebal
5/3/2021,A005,위험중립형중규모,Equity,A157490,TIGER 소프트웨어,5,16730,83650,16730,83650,0.08365,,Rebal
5/3/2021,A005,위험중립형중규모,Equity,A292150,TIGER TOP10,2,14305,28610,14305,28610,0.02861,,Rebal
5/3/2021,A005,위험중립형중규모,Alternative,A237370,KODEX 배당성장채권혼합,2,12060,24120,12060,24120,0.02412,,Rebal
5/3/2021,A005,위험중립형중규모,Cash,C000001,현금,3430,1,3430,1,3430,0.00343,,Rebal
5/3/2021,A006,위험중립형대규모,Fixed Income,A114260,KODEX 국고채3년,5,58040,290200,58040,290200,0.22323076,,Rebal
5/3/2021,A006,위험중립형대규모,Fixed Income,A148070,KOSEF 국고채10년,3,119695,359085,119695,359085,0.27621922,,Rebal
5/3/2021,A006,위험중립형대규모,Equity,A069500,KODEX 200,5,42295,211475,42295,211475,0.16267307,,Rebal
5/3/2021,A006,위험중립형대규모,Equity,A251350,KODEX 선진국MSCI World,8,18485,147880,18485,147880,0.11375385,,Rebal
5/3/2021,A006,위험중립형대규모,Fixed Income,A273130,KODEX 종합채권(AA-이상)액티브,1,108550,108550,108550,108550,0.0835,,Rebal
5/3/2021,A006,위험중립형대규모,Equity,A157490,TIGER 소프트웨어,6,16730,100380,16730,100380,0.07721538,,Rebal
5/3/2021,A006,위험중립형대규모,Equity,A292150,TIGER TOP10,3,14305,42915,14305,42915,0.033011537,,Rebal
5/3/2021,A006,위험중립형대규모,Alternative,A237370,KODEX 배당성장채권혼합,3,12060,36180,12060,36180,0.027830768,,Rebal
5/3/2021,A006,위험중립형대규모,Cash,C000001,현금,3335,1,3335,1,3335,0.0025653846,,Rebal
5/3/2021,A007,적극투자형소규모,Equity,A157490,TIGER 소프트웨어,10,16730,167300,16730,167300,0.239,,Rebal
5/3/2021,A007,적극투자형소규모,Alternative,A237370,KODEX 배당성장채권혼합,14,12060,168840,12060,168840,0.2412,,Rebal
5/3/2021,A007,적극투자형소규모,Equity,A278540,KODEX MSCI Korea TR,12,13695,164340,13695,164340,0.23477143,,Rebal
