Source,ECOS
Unit,none
Name,"Call금리(1일, 중개회사간거래)"
date,call
12/28/2006 12:00:00 AM,0.046
1/2/2007 12:00:00 AM,0.0454
1/3/2007 12:00:00 AM,0.0456
1/4/2007 12:00:00 AM,0.0467
1/5/2007 12:00:00 AM,0.0466
1/8/2007 12:00:00 AM,0.0461
1/9/2007 12:00:00 AM,0.0462
1/10/2007 12:00:00 AM,0.0467
1/11/2007 12:00:00 AM,0.0463
1/12/2007 12:00:00 AM,0.0464
1/15/2007 12:00:00 AM,0.0464
1/16/2007 12:00:00 AM,0.0464
1/17/2007 12:00:00 AM,0.0467
1/18/2007 12:00:00 AM,0.0471
1/19/2007 12:00:00 AM,0.0458
1/22/2007 12:00:00 AM,0.0461
1/23/2007 12:00:00 AM,0.046
1/24/2007 12:00:00 AM,0.0461
1/25/2007 12:00:00 AM,0.0462
1/26/2007 12:00:00 AM,0.047
1/29/2007 12:00:00 AM,0.047
1/30/2007 12:00:00 AM,0.0461
1/31/2007 12:00:00 AM,0.0461
2/1/2007 12:00:00 AM,0.046
2/2/2007 12:00:00 AM,0.046
2/5/2007 12:00:00 AM,0.0454
2/6/2007 12:00:00 AM,0.0446
2/7/2007 12:00:00 AM,0.0449
2/8/2007 12:00:00 AM,0.0455
2/9/2007 12:00:00 AM,0.0455
2/12/2007 12:00:00 AM,0.0456
2/13/2007 12:00:00 AM,0.0461
2/14/2007 12:00:00 AM,0.0468
2/15/2007 12:00:00 AM,0.047
2/16/2007 12:00:00 AM,0.0485
2/20/2007 12:00:00 AM,0.0476
2/21/2007 12:00:00 AM,0.0457
2/22/2007 12:00:00 AM,0.0457
2/23/2007 12:00:00 AM,0.0456
2/26/2007 12:00:00 AM,0.045
2/27/2007 12:00:00 AM,0.045
2/28/2007 12:00:00 AM,0.0455
3/2/2007 12:00:00 AM,0.0454
3/5/2007 12:00:00 AM,0.0459
3/6/2007 12:00:00 AM,0.0455
3/7/2007 12:00:00 AM,0.0457
3/8/2007 12:00:00 AM,0.0455
3/9/2007 12:00:00 AM,0.0459
3/12/2007 12:00:00 AM,0.0461
3/13/2007 12:00:00 AM,0.0461
3/14/2007 12:00:00 AM,0.0464
3/15/2007 12:00:00 AM,0.0464
3/16/2007 12:00:00 AM,0.0464
3/19/2007 12:00:00 AM,0.0464
3/20/2007 12:00:00 AM,0.0461
3/21/2007 12:00:00 AM,0.045
3/22/2007 12:00:00 AM,0.0445
3/23/2007 12:00:00 AM,0.0459
3/26/2007 12:00:00 AM,0.0461
3/27/2007 12:00:00 AM,0.0461
3/28/2007 12:00:00 AM,0.0458
3/29/2007 12:00:00 AM,0.0461
3/30/2007 12:00:00 AM,0.0463
4/2/2007 12:00:00 AM,0.0463
4/3/2007 12:00:00 AM,0.0462
4/4/2007 12:00:00 AM,0.046
4/5/2007 12:00:00 AM,0.044
4/6/2007 12:00:00 AM,0.0435
4/9/2007 12:00:00 AM,0.0461
4/10/2007 12:00:00 AM,0.0461
4/11/2007 12:00:00 AM,0.0461
4/12/2007 12:00:00 AM,0.0462
4/13/2007 12:00:00 AM,0.0463
4/16/2007 12:00:00 AM,0.0463
4/17/2007 12:00:00 AM,0.0463
4/18/2007 12:00:00 AM,0.0463
4/19/2007 12:00:00 AM,0.046
4/20/2007 12:00:00 AM,0.0471
4/23/2007 12:00:00 AM,0.0464
4/24/2007 12:00:00 AM,0.0467
4/25/2007 12:00:00 AM,0.0474
