Source,ECOS
Unit,none
Name,"Call금리(1일, 중개회사간거래)"
date,call
12/28/2006 12:00:00 AM,0.046
1/5/2007 12:00:00 AM,0.0466
1/12/2007 12:00:00 AM,0.0464
1/19/2007 12:00:00 AM,0.0458
1/26/2007 12:00:00 AM,0.047
2/2/2007 12:00:00 AM,0.046
2/9/2007 12:00:00 AM,0.0455
2/16/2007 12:00:00 AM,0.0485
2/23/2007 12:00:00 AM,0.0456
3/2/2007 12:00:00 AM,0.0454
3/9/2007 12:00:00 AM,0.0459
3/16/2007 12:00:00 AM,0.0464
3/23/2007 12:00:00 AM,0.0459
3/30/2007 12:00:00 AM,0.0463
4/6/2007 12:00:00 AM,0.0435
4/13/2007 12:00:00 AM,0.0463
4/20/2007 12:00:00 AM,0.0471
4/27/2007 12:00:00 AM,0.0509
5/4/2007 12:00:00 AM,0.0469
5/11/2007 12:00:00 AM,0.0461
5/18/2007 12:00:00 AM,0.0457
5/25/2007 12:00:00 AM,0.0458
6/1/2007 12:00:00 AM,0.0452
6/8/2007 12:00:00 AM,0.0452
6/15/2007 12:00:00 AM,0.0459
6/22/2007 12:00:00 AM,0.0447
6/29/2007 12:00:00 AM,0.0452
7/6/2007 12:00:00 AM,0.0437
7/13/2007 12:00:00 AM,0.0471
7/20/2007 12:00:00 AM,0.0487
7/27/2007 12:00:00 AM,0.0477
8/3/2007 12:00:00 AM,0.0469
8/10/2007 12:00:00 AM,0.0502
8/17/2007 12:00:00 AM,0.0498
8/24/2007 12:00:00 AM,0.0498
8/31/2007 12:00:00 AM,0.0498
9/7/2007 12:00:00 AM,0.049
9/14/2007 12:00:00 AM,0.0499
9/21/2007 12:00:00 AM,0.049
9/28/2007 12:00:00 AM,0.0498
10/5/2007 12:00:00 AM,0.05
10/12/2007 12:00:00 AM,0.0501
10/19/2007 12:00:00 AM,0.0501
10/26/2007 12:00:00 AM,0.0502
11/2/2007 12:00:00 AM,0.0498
11/9/2007 12:00:00 AM,0.0501
11/16/2007 12:00:00 AM,0.0501
11/23/2007 12:00:00 AM,0.05
11/30/2007 12:00:00 AM,0.0502
12/7/2007 12:00:00 AM,0.0479
12/14/2007 12:00:00 AM,0.0499
12/21/2007 12:00:00 AM,0.0499
12/28/2007 12:00:00 AM,0.0501
1/4/2008 12:00:00 AM,0.0499
1/11/2008 12:00:00 AM,0.05
1/18/2008 12:00:00 AM,0.0497
1/25/2008 12:00:00 AM,0.0501
2/1/2008 12:00:00 AM,0.0491
2/5/2008 12:00:00 AM,0.0494
2/15/2008 12:00:00 AM,0.05
2/22/2008 12:00:00 AM,0.05
2/29/2008 12:00:00 AM,0.0494
3/7/2008 12:00:00 AM,0.05
3/14/2008 12:00:00 AM,0.0498
3/21/2008 12:00:00 AM,0.0498
3/28/2008 12:00:00 AM,0.0496
4/4/2008 12:00:00 AM,0.051
4/11/2008 12:00:00 AM,0.05
4/18/2008 12:00:00 AM,0.05
4/25/2008 12:00:00 AM,0.0496
5/2/2008 12:00:00 AM,0.0496
5/9/2008 12:00:00 AM,0.05
5/16/2008 12:00:00 AM,0.0495
5/23/2008 12:00:00 AM,0.05
5/30/2008 12:00:00 AM,0.0504
6/5/2008 12:00:00 AM,0.05
6/13/2008 12:00:00 AM,0.0499
6/20/2008 12:00:00 AM,0.0501
6/27/2008 12:00:00 AM,0.05
7/4/2008 12:00:00 AM,0.0503
7/11/2008 12:00:00 AM,0.0501
