9|2100|7.00,Last Update : 2021-04-30 18:30,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Series (Company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,W,Ascending,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period(From),20061231,Korean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period(To),CPD [20210430],,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,A069500,A105190,A102110,A232080,A278540,A229200,A196230,A371460,A293180,A130730,A122260,A314250,A139260,A364980,A251350,A292150,A091160,A367380,A091180,A091170,A372330,A283580,A371160,A364960,A245710,A102780,A214980,A360200,A302190,A157490,A148070,A153130,A364990,A266370,A114260,A195930,A273130,A245340,A329750,A329650,A237370
Name,KODEX 200,KINDEX 200,TIGER 200,TIGER 코스닥150,KODEX MSCI Korea TR,KODEX 코스닥 150,KBSTAR 단기통안채,TIGER 차이나전기차SOLACTIVE,HANARO 200,KOSEF 단기자금,KOSEF 통안채1년,KODEX 미국FANG플러스(H),TIGER 200 IT,TIGER KRX2차전지K-뉴딜,KODEX 선진국MSCI World,TIGER TOP10,KODEX 반도체,KINDEX 미국나스닥100,KODEX 자동차,KODEX 은행,KODEX 차이나항셍테크,KODEX 중국본토CSI300,TIGER 차이나항셍테크,TIGER KRX BBIG K-뉴딜,KINDEX 베트남VN30(합성),KODEX 삼성그룹,KODEX 단기채권PLUS,KINDEX 미국S&P500,TIGER 중장기국채,TIGER 소프트웨어,KOSEF 국고채10년,KODEX 단기채권,TIGER KRX게임K-뉴딜,KODEX IT,KODEX 국고채3년,TIGER 유로스탁스50(합성 H),KODEX 종합채권(AA-이상)액티브,TIGER 미국다우존스30,TIGER 미국달러단기채권액티브,KODEX TRF3070,KODEX 배당성장채권혼합
Item Code,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,S100300,,
Unit,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,KRW,Local/Shares,Local/Shares
Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D A T E,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가,수정주가
12/28/2006 12:00:00 AM,14670,,,,,,,,,,,,,,,,9711,,6485,7496,,,,,,,,,,,,,,,,,,,,,
1/5/2007 12:00:00 AM,14201,,,,,,,,,,,,,,,,9513,,6231,7099,,,,,,,,,,,,,,,,,,,,,
1/12/2007 12:00:00 AM,14178,,,,,,,,,,,,,,,,9329,,5976,7465,,,,,,,,,,,,,,,,,,,,,
1/19/2007 12:00:00 AM,13953,,,,,,,,,,,,,,,,8799,,5864,7444,,,,,,,,,,,,,,,,,,,,,
