종목코드,가격,거래량,거래대금,투자자산
itemcode,price,volume,trading_amt_mln,itemtype
A069500,41870,10363864,450745.579929083,ETF
A105190,42090,298303,17458.7621045833,ETF
A102110,41680,1024274,66844.0323128333,ETF
A232080,14065,325605,10167.0632666666,ETF
A278540,13455,340637,7333.74646166667,ETF
A229200,14025,3158681,84901.1705687499,ETF
A196230,104320,795740,69645.75663375,ETF
A130730,100975,910079,56617.5589033333,ETF
A122260,101175,79699,44600.6567654167,ETF
A139260,39010,290847,34582.8689554167,ETF
A251350,17065,544490,3840.85664916671,ETF
A091160,35580,207288,9032.27464250004,ETF
A091180,23380,250684,21763.46275,ETF
A091170,6610,1324945,4735.78379666671,ETF
A283580,14620,128542,2305.77798833338,ETF
A245710,16765,471053,5148.15666250004,ETF
A102780,9920,394441,6347.20445750004,ETF
A214980,103005,3582,42687.6604391667,ETF
A157490,16525,78498,3050.77310458336,ETF
A148070,120630,3434,2155.47226541669,ETF
A153130,102735,12610,2908.47340375002,ETF
A266370,21355,37930,1974.68216041669,ETF
A114260,58070,12592,1515.86726333336,ETF
A195930,12425,15113,354.037860416693,ETF
A273130,109075,59550,1971.53023333335,ETF
A245340,17520,13537,385.760458166691,ETF
A329650,10980,37484,411,ETF
A237370,11775,26965,140,ETF
