9|2100|7.00,Last Update : 2021-03-11 17:08,,3507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Series (Company),,,거래량,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,D,Ascending,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period(From),20061231,Korean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period(To),CPD-1TD [20210310] [20210310],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,A069500,A105190,A102110,A232080,A278540,A229200,A196230,A371460,A293180,A130730,A122260,A314250,A139260,A364980,A251350,A292150,A091160,A367380,A091180,A091170,A372330,A283580,A371160,A364960,A245710,A102780,A214980,A360200,A302190,A157490,A148070,A153130,A364990,A266370,A114260,A195930,A273130,A245340,A329750
Name,KODEX 200,KINDEX 200,TIGER 200,TIGER 코스닥150,KODEX MSCI Korea TR,KODEX 코스닥 150,KBSTAR 단기통안채,TIGER 차이나전기차SOLACTIVE,HANARO 200,KOSEF 단기자금,KOSEF 통안채1년,KODEX 미국FANG플러스(H),TIGER 200 IT,TIGER KRX2차전지K-뉴딜,KODEX 선진국MSCI World,TIGER TOP10,KODEX 반도체,KINDEX 미국나스닥100,KODEX 자동차,KODEX 은행,KODEX 차이나항셍테크,KODEX 중국본토CSI300,TIGER 차이나항셍테크,TIGER KRX BBIG K-뉴딜,KINDEX 베트남VN30(합성),KODEX 삼성그룹,KODEX 단기채권PLUS,KINDEX 미국S&P500,TIGER 중장기국채,TIGER 소프트웨어,KOSEF 국고채10년,KODEX 단기채권,TIGER KRX게임K-뉴딜,KODEX IT,KODEX 국고채3년,TIGER 유로스탁스50(합성 H),KODEX 종합채권(AA-이상)액티브,TIGER 미국다우존스30,TIGER 미국달러단기채권액티브
Item Code,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900
Unit,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares
Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D A T E,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량
12/28/2006 12:00:00 AM,411821,,,,,,,,,,,,,,,,30352,,19135,1862,,,,,,,,,,,,,,,,,,,
1/2/2007 12:00:00 AM,628207,,,,,,,,,,,,,,,,4074,,427,609,,,,,,,,,,,,,,,,,,,
1/3/2007 12:00:00 AM,841975,,,,,,,,,,,,,,,,3694,,655,1885,,,,,,,,,,,,,,,,,,,
1/4/2007 12:00:00 AM,705774,,,,,,,,,,,,,,,,5087,,1243,1386,,,,,,,,,,,,,,,,,,,
1/5/2007 12:00:00 AM,1767331,,,,,,,,,,,,,,,,9926,,1429,2263,,,,,,,,,,,,,,,,,,,
1/8/2007 12:00:00 AM,1422555,,,,,,,,,,,,,,,,9009,,4832,1363,,,,,,,,,,,,,,,,,,,
1/9/2007 12:00:00 AM,630785,,,,,,,,,,,,,,,,7475,,2732,422,,,,,,,,,,,,,,,,,,,
1/10/2007 12:00:00 AM,4095687,,,,,,,,,,,,,,,,14468,,3539,236,,,,,,,,,,,,,,,,,,,
1/11/2007 12:00:00 AM,4715357,,,,,,,,,,,,,,,,6241,,343,354,,,,,,,,,,,,,,,,,,,
1/12/2007 12:00:00 AM,1028362,,,,,,,,,,,,,,,,13908,,6812,227,,,,,,,,,,,,,,,,,,,
1/15/2007 12:00:00 AM,1130777,,,,,,,,,,,,,,,,3166,,870,994,,,,,,,,,,,,,,,,,,,
1/16/2007 12:00:00 AM,1113646,,,,,,,,,,,,,,,,5747,,1138,1480,,,,,,,,,,,,,,,,,,,
1/17/2007 12:00:00 AM,1284834,,,,,,,,,,,,,,,,8910,,1974,869,,,,,,,,,,,,,,,,,,,
1/18/2007 12:00:00 AM,1020164,,,,,,,,,,,,,,,,11436,,579,1421,,,,,,,,,,,,,,,,,,,
1/19/2007 12:00:00 AM,717113,,,,,,,,,,,,,,,,19361,,1696,315,,,,,,,,,,,,,,,,,,,
1/22/2007 12:00:00 AM,404890,,,,,,,,,,,,,,,,9835,,1001,155,,,,,,,,,,,,,,,,,,,
1/23/2007 12:00:00 AM,424743,,,,,,,,,,,,,,,,6954,,647,677,,,,,,,,,,,,,,,,,,,
1/24/2007 12:00:00 AM,703455,,,,,,,,,,,,,,,,4331,,4118,809,,,,,,,,,,,,,,,,,,,
1/25/2007 12:00:00 AM,859183,,,,,,,,,,,,,,,,1474,,1522,318,,,,,,,,,,,,,,,,,,,
1/26/2007 12:00:00 AM,535806,,,,,,,,,,,,,,,,12203,,1488,12319,,,,,,,,,,,,,,,,,,,
1/29/2007 12:00:00 AM,1140216,,,,,,,,,,,,,,,,4292,,2781,1244,,,,,,,,,,,,,,,,,,,
1/30/2007 12:00:00 AM,255212,,,,,,,,,,,,,,,,8411,,3252,170,,,,,,,,,,,,,,,,,,,
1/31/2007 12:00:00 AM,1076133,,,,,,,,,,,,,,,,6665,,194,2785,,,,,,,,,,,,,,,,,,,
2/1/2007 12:00:00 AM,516074,,,,,,,,,,,,,,,,1234,,428,1619,,,,,,,,,,,,,,,,,,,
2/2/2007 12:00:00 AM,1033177,,,,,,,,,,,,,,,,5268,,844,3209,,,,,,,,,,,,,,,,,,,
2/5/2007 12:00:00 AM,1197116,,,,,,,,,,,,,,,,8562,,2831,2660,,,,,,,,,,,,,,,,,,,
2/6/2007 12:00:00 AM,559072,,,,,,,,,,,,,,,,1848,,667,1197,,,,,,,,,,,,,,,,,,,
2/7/2007 12:00:00 AM,682975,,,,,,,,,,,,,,,,5039,,2409,1046,,,,,,,,,,,,,,,,,,,
2/8/2007 12:00:00 AM,1530644,,,,,,,,,,,,,,,,2206,,2221,1224,,,,,,,,,,,,,,,,,,,
2/9/2007 12:00:00 AM,430322,,,,,,,,,,,,,,,,2114,,1487,1691,,,,,,,,,,,,,,,,,,,
2/12/2007 12:00:00 AM,1809793,,,,,,,,,,,,,,,,2732,,2835,631,,,,,,,,,,,,,,,,,,,
2/13/2007 12:00:00 AM,1201338,,,,,,,,,,,,,,,,2657,,4232,1079,,,,,,,,,,,,,,,,,,,
2/14/2007 12:00:00 AM,683560,,,,,,,,,,,,,,,,11299,,5649,8151,,,,,,,,,,,,,,,,,,,
2/15/2007 12:00:00 AM,1521840,,,,,,,,,,,,,,,,4013,,1979,9953,,,,,,,,,,,,,,,,,,,
2/16/2007 12:00:00 AM,851970,,,,,,,,,,,,,,,,4753,,3016,7175,,,,,,,,,,,,,,,,,,,
2/20/2007 12:00:00 AM,2814133,,,,,,,,,,,,,,,,1783,,3911,4106,,,,,,,,,,,,,,,,,,,
2/21/2007 12:00:00 AM,1137247,,,,,,,,,,,,,,,,7731,,2207,3905,,,,,,,,,,,,,,,,,,,
2/22/2007 12:00:00 AM,709552,,,,,,,,,,,,,,,,3948,,2270,4747,,,,,,,,,,,,,,,,,,,
