9|2100|7.00,Last Update : 2021-04-27 17:43,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Series (Company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,W,Ascending,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period(From),20061231,Korean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period(To),CPD-1TD [20210426] [20210426],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,A069500,A105190,A102110,A232080,A278540,A229200,A196230,A371460,A293180,A130730,A122260,A314250,A139260,A364980,A251350,A292150,A091160,A367380,A091180,A091170,A372330,A283580,A371160,A364960,A245710,A102780,A214980,A360200,A302190,A157490,A148070,A153130,A364990,A266370,A114260,A195930,A273130,A245340,A329750,A329650,A237370
Name,KODEX 200,KINDEX 200,TIGER 200,TIGER 코스닥150,KODEX MSCI Korea TR,KODEX 코스닥 150,KBSTAR 단기통안채,TIGER 차이나전기차SOLACTIVE,HANARO 200,KOSEF 단기자금,KOSEF 통안채1년,KODEX 미국FANG플러스(H),TIGER 200 IT,TIGER KRX2차전지K-뉴딜,KODEX 선진국MSCI World,TIGER TOP10,KODEX 반도체,KINDEX 미국나스닥100,KODEX 자동차,KODEX 은행,KODEX 차이나항셍테크,KODEX 중국본토CSI300,TIGER 차이나항셍테크,TIGER KRX BBIG K-뉴딜,KINDEX 베트남VN30(합성),KODEX 삼성그룹,KODEX 단기채권PLUS,KINDEX 미국S&P500,TIGER 중장기국채,TIGER 소프트웨어,KOSEF 국고채10년,KODEX 단기채권,TIGER KRX게임K-뉴딜,KODEX IT,KODEX 국고채3년,TIGER 유로스탁스50(합성 H),KODEX 종합채권(AA-이상)액티브,TIGER 미국다우존스30,TIGER 미국달러단기채권액티브,KODEX TRF3070,KODEX 배당성장채권혼합
Item Code,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,S100900,,
Unit,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares,Shares
Base Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D A T E,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량
12/28/2006 12:00:00 AM,411821,,,,,,,,,,,,,,,,30352,,19135,1862,,,,,,,,,,,,,,,,,,,,,
1/5/2007 12:00:00 AM,1767331,,,,,,,,,,,,,,,,9926,,1429,2263,,,,,,,,,,,,,,,,,,,,,
1/12/2007 12:00:00 AM,1028362,,,,,,,,,,,,,,,,13908,,6812,227,,,,,,,,,,,,,,,,,,,,,
1/19/2007 12:00:00 AM,717113,,,,,,,,,,,,,,,,19361,,1696,315,,,,,,,,,,,,,,,,,,,,,
1/26/2007 12:00:00 AM,535806,,,,,,,,,,,,,,,,12203,,1488,12319,,,,,,,,,,,,,,,,,,,,,
2/2/2007 12:00:00 AM,1033177,,,,,,,,,,,,,,,,5268,,844,3209,,,,,,,,,,,,,,,,,,,,,
2/9/2007 12:00:00 AM,430322,,,,,,,,,,,,,,,,2114,,1487,1691,,,,,,,,,,,,,,,,,,,,,
2/16/2007 12:00:00 AM,851970,,,,,,,,,,,,,,,,4753,,3016,7175,,,,,,,,,,,,,,,,,,,,,
2/23/2007 12:00:00 AM,659511,,,,,,,,,,,,,,,,5513,,2645,24281,,,,,,,,,,,,,,,,,,,,,
3/2/2007 12:00:00 AM,2309674,,,,,,,,,,,,,,,,2134,,1062,5417,,,,,,,,,,,,,,,,,,,,,
3/9/2007 12:00:00 AM,847590,,,,,,,,,,,,,,,,6745,,864,2535,,,,,,,,,,,,,,,,,,,,,
3/16/2007 12:00:00 AM,567050,,,,,,,,,,,,,,,,2168,,2041,3572,,,,,,,,,,,,,,,,,,,,,
3/23/2007 12:00:00 AM,387053,,,,,,,,,,,,,,,,4985,,1632,13431,,,,,,,,,,,,,,,,,,,,,
3/30/2007 12:00:00 AM,1820484,,,,,,,,,,,,,,,,1947,,3300,5360,,,,,,,,,,,,,,,,,,,,,
4/6/2007 12:00:00 AM,1319670,,,,,,,,,,,,,,,,36877,,21998,11804,,,,,,,,,,,,,,,,,,,,,
4/13/2007 12:00:00 AM,1469497,,,,,,,,,,,,,,,,26674,,21703,27655,,,,,,,,,,,,,,,,,,,,,
4/20/2007 12:00:00 AM,389859,,,,,,,,,,,,,,,,62059,,62059,63321,,,,,,,,,,,,,,,,,,,,,
4/27/2007 12:00:00 AM,1173821,,,,,,,,,,,,,,,,67801,,69229,69626,,,,,,,,,,,,,,,,,,,,,
5/4/2007 12:00:00 AM,227403,,,,,,,,,,,,,,,,74984,,61012,68239,,,,,,,,,,,,,,,,,,,,,
