date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-10-07,A114260,A001,안정추구형소규모,Fixed Income,KODEX 국고채3년,2.0,57760.0,115520.0,57600.0,115200.0,0.16252546514449528,,
2021-10-07,A122260,A001,안정추구형소규모,Fixed Income,KOSEF 통안채1년,1.0,101265.0,101265.0,101270.0,101270.0,0.14287286332624166,,
2021-10-07,A130730,A001,안정추구형소규모,Fixed Income,KOSEF 단기자금,2.0,101245.0,202490.0,101250.0,202500.0,0.28568929419930816,,
2021-10-07,A196230,A001,안정추구형소규모,Fixed Income,KBSTAR 단기통안채,1.0,104605.0,104605.0,104620.0,104620.0,0.14759908127966231,,
2021-10-07,A273130,A001,안정추구형소규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1.0,108380.0,108380.0,107830.0,107830.0,0.15212778564696985,,
2021-10-07,A069500,A001,안정추구형소규모,Equity,KODEX 200,1.0,40195.0,40195.0,38817.0,38817.0,0.054763463372516266,,
2021-10-07,A251350,A001,안정추구형소규모,Equity,KODEX 선진국MSCI World,1.0,20335.0,20335.0,20305.0,20305.0,0.028646524043046677,,
2021-10-07,A237370,A001,안정추구형소규모,Alternative,KODEX 배당성장채권혼합,1.0,12160.0,12160.0,12060.0,12060.0,0.01701438463231435,,
2021-10-07,C000001,A001,안정추구형소규모,Cash,현금,6210.0,1.0,6210.0,1.0,6210.0,0.008761138355445449,,
2021-10-07,A114260,A002,안정추구형중규모,Fixed Income,KODEX 국고채3년,4.0,57760.0,231040.0,57600.0,230400.0,0.23164881878205407,,
2021-10-07,A122260,A002,안정추구형중규모,Fixed Income,KOSEF 통안채1년,2.0,101265.0,202530.0,101270.0,202540.0,0.20363781144148102,,
2021-10-07,A130730,A002,안정추구형중규모,Fixed Income,KOSEF 단기자금,2.0,101245.0,202490.0,101250.0,202500.0,0.2035975946326647,,
2021-10-07,A196230,A002,안정추구형중규모,Fixed Income,KBSTAR 단기통안채,1.0,104605.0,104605.0,104620.0,104620.0,0.10518706345910805,,
