이름,종목코드,종목명,수량(전),비중(전),평가액(전),MP비중,매매방향,매매수량,수량(후),가격(후),평가액(후),비중(후)
안정추구형소규모,A130730,KOSEF 단기자금,2,28.6,"202,500",24.0,-,0,2,"101,250","202,500",28.6
안정추구형소규모,A122260,KOSEF 통안채1년,1,14.3,"101,165",24.0,매수,1,2,"101,165","202,330",28.6
안정추구형소규모,A114260,KODEX 국고채3년,2,16.2,"114,420",24.0,-,0,2,"57,210","114,420",16.2
안정추구형소규모,A196230,KBSTAR 단기통안채,1,14.8,"104,630",14.6,-,0,1,"104,630","104,630",14.8
안정추구형소규모,A069500,KODEX 200,1,5.6,"39,460",5.7,-,0,1,"39,460","39,460",5.6
안정추구형소규모,A251350,KODEX 선진국MSCI World,1,2.9,"20,805",4.3,-,0,1,"20,805","20,805",2.9
안정추구형소규모,A237370,KODEX 배당성장채권혼합,1,1.7,"12,035",2.0,-,0,1,"12,035","12,035",1.7
안정추구형소규모,C000001,현금,"6,210",0.9,"6,210",0.0,-,5770,"11,980",1,"11,980",1.7
안정추구형소규모,A273130,KODEX 종합채권(AA-이상)액티브,1,15.1,"106,935",0.0,매도,1,0,"106,935",0,0.0
안정추구형중규모,A114260,KODEX 국고채3년,4,23.0,"228,840",24.0,-,0,4,"57,210","228,840",23.0
안정추구형중규모,A196230,KBSTAR 단기통안채,1,10.5,"104,630",14.6,매수,1,2,"104,630","209,260",21.0
안정추구형중규모,A130730,KOSEF 단기자금,2,20.4,"202,500",24.0,-,0,2,"101,250","202,500",20.4
안정추구형중규모,A122260,KOSEF 통안채1년,2,20.4,"202,330",24.0,-,0,2,"101,165","202,330",20.4
안정추구형중규모,A069500,KODEX 200,2,7.9,"78,920",5.7,-,0,2,"39,460","78,920",7.9
안정추구형중규모,A251350,KODEX 선진국MSCI World,2,4.2,"41,610",4.3,-,0,2,"20,805","41,610",4.2
안정추구형중규모,A237370,KODEX 배당성장채권혼합,2,2.4,"24,070",2.0,-,0,2,"12,035","24,070",2.4
안정추구형중규모,C000001,현금,"4,355",0.4,"4,355",0.0,-,2305,"6,660",1,"6,660",0.7
안정추구형중규모,A273130,KODEX 종합채권(AA-이상)액티브,1,10.8,"106,935",0.0,매도,1,0,"106,935",0,0.0
안정추구형대규모,A130730,KOSEF 단기자금,3,23.4,"303,750",24.0,-,0,3,"101,250","303,750",23.4
안정추구형대규모,A122260,KOSEF 통안채1년,3,23.4,"303,495",24.0,-,0,3,"101,165","303,495",23.4
안정추구형대규모,A114260,KODEX 국고채3년,5,22.1,"286,050",24.0,-,0,5,"57,210","286,050",22.1
안정추구형대규모,A196230,KBSTAR 단기통안채,1,8.1,"104,630",14.6,매수,1,2,"104,630","209,260",16.1
안정추구형대규모,A069500,KODEX 200,2,6.1,"78,920",5.7,-,0,2,"39,460","78,920",6.1
안정추구형대규모,A251350,KODEX 선진국MSCI World,3,4.8,"62,415",4.3,-,0,3,"20,805","62,415",4.8
