date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-07-03,A114260,A001,안정추구형소규모,Fixed Income,KODEX 국고채3년,2.0,57845.0,115690.0,57790.0,115580.0,0.1620892374317032,,
2021-07-03,A122260,A001,안정추구형소규모,Fixed Income,KOSEF 통안채1년,1.0,101120.0,101120.0,101115.0,101115.0,0.14180354077614352,,
2021-07-03,A130730,A001,안정추구형소규모,Fixed Income,KOSEF 단기자금,2.0,101060.0,202120.0,101060.0,202120.0,0.28345281769939307,,
2021-07-03,A196230,A001,안정추구형소규모,Fixed Income,KBSTAR 단기통안채,1.0,104430.0,104430.0,104435.0,104435.0,0.14645950433621666,,
2021-07-03,A273130,A001,안정추구형소규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1.0,108635.0,108635.0,108665.0,108665.0,0.15239165067932192,,
2021-07-03,A251350,A001,안정추구형소규모,Equity,KODEX 선진국MSCI World,1.0,19200.0,19200.0,19310.0,19310.0,0.02708031817620859,,
2021-07-03,A237370,A001,안정추구형소규모,Alternative,KODEX 배당성장채권혼합,1.0,12085.0,12085.0,12100.0,12100.0,0.016969023818338886,,
2021-07-03,A069500,A001,안정추구형소규모,Equity,KODEX 200,1.0,43640.0,43640.0,43529.0,43529.0,0.061045011387477144,,
2021-07-03,C000001,A001,안정추구형소규모,Cash,현금,6210.0,1.0,6210.0,1.0,6210.0,0.008708895695197064,,
2021-07-03,A114260,A002,안정추구형중규모,Fixed Income,KODEX 국고채3년,4.0,57845.0,231380.0,57790.0,231160.0,0.23050467520838258,,
2021-07-03,A122260,A002,안정추구형중규모,Fixed Income,KOSEF 통안채1년,2.0,101120.0,202240.0,101115.0,202230.0,0.20165669003024403,,
2021-07-03,A130730,A002,안정추구형중규모,Fixed Income,KOSEF 단기자금,2.0,101060.0,202120.0,101060.0,202120.0,0.20154700187367314,,
2021-07-03,A196230,A002,안정추구형중규모,Fixed Income,KBSTAR 단기통안채,1.0,104430.0,104430.0,104435.0,104435.0,0.10413893301344278,,
2021-07-03,A273130,A002,안정추구형중규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1.0,108635.0,108635.0,108665.0,108665.0,0.10835694121612256,,
2021-07-03,A069500,A002,안정추구형중규모,Equity,KODEX 200,2.0,43640.0,87280.0,43529.0,87058.0,0.08681119577042468,,
