date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
5/4/21,A114260,A001,안정추구형소규모,Fixed Income,KODEX 국고채3년,2,58040,116080,58015,116030,0.16578438,,
5/4/21,A122260,A001,안정추구형소규모,Fixed Income,KOSEF 통안채1년,2,101395,202790,101305,202610,0.28949042,,
5/4/21,A130730,A001,안정추구형소규모,Fixed Income,KOSEF 단기자금,2,101110,202220,101100,202200,0.28890461,,
5/4/21,A196230,A001,안정추구형소규모,Fixed Income,KBSTAR 단기통안채,1,104430,104430,104435,104435,0.14921737,,
5/4/21,A069500,A001,안정추구형소규모,Equity,KODEX 200,1,42295,42295,42380,42380,0.06055281,,
5/4/21,A251350,A001,안정추구형소규모,Equity,KODEX 선진국MSCI World,1,18485,18485,18525,18525,0.02646863,,
5/4/21,A237370,A001,안정추구형소규모,Alternative,KODEX 배당성장채권혼합,1,12060,12060,12065,12065,0.01723855,,
5/4/21,C000001,A001,안정추구형소규모,Cash,현금,1640,1,1640,1,1640,0.00234324,,
5/4/21,A114260,A002,안정추구형중규모,Fixed Income,KODEX 국고채3년,4,58040,232160,58015,232060,0.23203100,,
5/4/21,A122260,A002,안정추구형중규모,Fixed Income,KOSEF 통안채1년,2,101395,202790,101305,202610,0.20258468,,
5/4/21,A130730,A002,안정추구형중규모,Fixed Income,KOSEF 단기자금,2,101110,202220,101100,202200,0.20217473,,
5/4/21,A196230,A002,안정추구형중규모,Fixed Income,KBSTAR 단기통안채,1,104430,104430,104435,104435,0.10442195,,
5/4/21,A069500,A002,안정추구형중규모,Equity,KODEX 200,1,42295,42295,42380,42380,0.04237470,,
5/4/21,A251350,A002,안정추구형중규모,Equity,KODEX 선진국MSCI World,2,18485,36970,18525,37050,0.03704537,,
5/4/21,A273130,A002,안정추구형중규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,108550,108550,108445,108445,0.10843145,,
5/4/21,A237370,A002,안정추구형중규모,Alternative,KODEX 배당성장채권혼합,2,12060,24120,12065,24130,0.02412698,,
5/4/21,A292150,A002,안정추구형중규모,Equity,TIGER TOP10,2,14305,28610,14480,28960,0.02895638,,
5/4/21,C000001,A002,안정추구형중규모,Cash,현금,17855,1,17855,1,17855,0.01785277,,
5/4/21,A114260,A003,안정추구형대규모,Fixed Income,KODEX 국고채3년,5,58040,290200,58015,290075,0.22309429,,
5/4/21,A122260,A003,안정추구형대규모,Fixed Income,KOSEF 통안채1년,3,101395,304185,101305,303915,0.23373852,,
5/4/21,A130730,A003,안정추구형대규모,Fixed Income,KOSEF 단기자금,3,101110,303330,101100,303300,0.23326553,,
5/4/21,A196230,A003,안정추구형대규모,Fixed Income,KBSTAR 단기통안채,2,104430,208860,104435,208870,0.16064019,,
5/4/21,A069500,A003,안정추구형대규모,Equity,KODEX 200,2,42295,84590,42380,84760,0.06518822,,
5/4/21,A251350,A003,안정추구형대규모,Equity,KODEX 선진국MSCI World,3,18485,55455,18525,55575,0.04274227,,
5/4/21,A237370,A003,안정추구형대규모,Alternative,KODEX 배당성장채권혼합,2,12060,24120,12065,24130,0.01855818,,
5/4/21,A292150,A003,안정추구형대규모,Equity,TIGER TOP10,2,14305,28610,14480,28960,0.02227290,,
5/4/21,C000001,A003,안정추구형대규모,Cash,현금,650,1,650,1,650,0.00049991,,
5/4/21,A114260,A004,위험중립형소규모,Fixed Income,KODEX 국고채3년,3,58040,174120,58015,174045,0.24835543,,
5/4/21,A148070,A004,위험중립형소규모,Fixed Income,KOSEF 국고채10년,1,119695,119695,119670,119670,0.17076442,,
5/4/21,A069500,A004,위험중립형소규모,Equity,KODEX 200,3,42295,126885,42380,127140,0.18142382,,
