date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-06-03,A114260,A001,안정추구형소규모,Fixed Income,KODEX 국고채3년,2,,,58020.0,116040.0,0.16547711570135973,,
2021-06-03,A273130,A001,안정추구형소규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,0,,,108325.0,0.0,0.0,,
2021-06-03,A196230,A001,안정추구형소규모,Fixed Income,KBSTAR 단기통안채,1,,,104480.0,104480.0,0.14899214967664653,,
2021-06-03,A122260,A001,안정추구형소규모,Fixed Income,KOSEF 통안채1년,2,,,101275.0,202550.0,0.28884341421329207,,
2021-06-03,A130730,A001,안정추구형소규모,Fixed Income,KOSEF 단기자금,2,,,101130.0,202260.0,0.288429864027551,,
2021-06-03,A069500,A001,안정추구형소규모,Equity,KODEX 200,1,,,43370.0,43370.0,0.06184714329513936,,
2021-06-03,A251350,A001,안정추구형소규모,Equity,KODEX 선진국MSCI World,1,,,18760.0,18760.0,0.026752418912077806,,
2021-06-03,A237370,A001,안정추구형소규모,Alternative,KODEX 배당성장채권혼합,1,,,12145.0,12145.0,0.017319196571811565,,
2021-06-03,C000001,A001,안정추구형소규모,Cash,현금,1640,,,1.0,1640.0,0.0023386976021219402,,
2021-06-03,A292150,A001,안정추구형소규모,Equity,TIGER TOP10,0,,,14440.0,0.0,0.0,,
2021-06-03,A114260,A002,안정추구형중규모,Fixed Income,KODEX 국고채3년,4,,,58020.0,232080.0,0.23170695180758977,,
2021-06-03,A122260,A002,안정추구형중규모,Fixed Income,KOSEF 통안채1년,2,,,101275.0,202550.0,0.20222441868591567,,
2021-06-03,A130730,A002,안정추구형중규모,Fixed Income,KOSEF 단기자금,2,,,101130.0,202260.0,0.20193488483541497,,
2021-06-03,A273130,A002,안정추구형중규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,,,108325.0,108325.0,0.1081508770878885,,
2021-06-03,A196230,A002,안정추구형중규모,Fixed Income,KBSTAR 단기통안채,1,,,104480.0,104480.0,0.10431205758728447,,
2021-06-03,A069500,A002,안정추구형중규모,Equity,KODEX 200,1,,,43370.0,43370.0,0.04330028653867274,,
2021-06-03,A251350,A002,안정추구형중규모,Equity,KODEX 선진국MSCI World,2,,,18760.0,37520.0,0.03745968989926219,,
2021-06-03,A237370,A002,안정추구형중규모,Alternative,KODEX 배당성장채권혼합,2,,,12145.0,24290.0,0.024250955960902945,,
2021-06-03,C000001,A002,안정추구형중규모,Cash,현금,17855,,,1.0,17855.0,0.017826299657551344,,
2021-06-03,A292150,A002,안정추구형중규모,Equity,TIGER TOP10,2,,,14440.0,28880.0,0.028833577939517376,,
2021-06-03,A122260,A003,안정추구형대규모,Fixed Income,KOSEF 통안채1년,3,,,101275.0,303825.0,0.2331528683193732,,
2021-06-03,A130730,A003,안정추구형대규모,Fixed Income,KOSEF 단기자금,3,,,101130.0,303390.0,0.2328190528080791,,
2021-06-03,A114260,A003,안정추구형대규모,Fixed Income,KODEX 국고채3년,5,,,58020.0,290100.0,0.2226204133940596,,
2021-06-03,A273130,A003,안정추구형대규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,0,,,108325.0,0.0,0.0,,
2021-06-03,A196230,A003,안정추구형대규모,Fixed Income,KBSTAR 단기통안채,2,,,104480.0,208960.0,0.16035422813796174,,
2021-06-03,A069500,A003,안정추구형대규모,Equity,KODEX 200,2,,,43370.0,86740.0,0.06656358034402182,,
2021-06-03,A251350,A003,안정추구형대규모,Equity,KODEX 선진국MSCI World,3,,,18760.0,56280.0,0.043188820633635557,,
2021-06-03,A237370,A003,안정추구형대규모,Alternative,KODEX 배당성장채권혼합,2,,,12145.0,24290.0,0.018639951193870075,,
2021-06-03,C000001,A003,안정추구형대규모,Cash,현금,650,,,1.0,650.0,0.0004988047869911712,,
2021-06-03,A292150,A003,안정추구형대규모,Equity,TIGER TOP10,2,,,14440.0,28880.0,0.022162280382007727,,
2021-06-03,A114260,A004,위험중립형소규모,Fixed Income,KODEX 국고채3년,3,,,58020.0,174060.0,0.24643046756096698,,
2021-06-03,A069500,A004,위험중립형소규모,Equity,KODEX 200,3,,,43370.0,130110.0,0.1842069868686511,,
2021-06-03,A148070,A004,위험중립형소규모,Fixed Income,KOSEF 국고채10년,1,,,119240.0,119240.0,0.16881747071107492,,
2021-06-03,A273130,A004,위험중립형소규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,,,108325.0,108325.0,0.15336424450500832,,
2021-06-03,A251350,A004,위험중립형소규모,Equity,KODEX 선진국MSCI World,4,,,18760.0,75040.0,0.10624004530492337,,
2021-06-03,A157490,A004,위험중립형소규모,Equity,TIGER 소프트웨어,3,,,17525.0,52575.0,0.07443457331964747,,
2021-06-03,A237370,A004,위험중립형소규모,Alternative,KODEX 배당성장채권혼합,1,,,12145.0,12145.0,0.01719463419813825,,
2021-06-03,C000001,A004,위험중립형소규모,Cash,현금,5950,,,1.0,5950.0,0.008423884189289632,,
2021-06-03,A292150,A004,위험중립형소규모,Equity,TIGER TOP10,2,,,14440.0,28880.0,0.040887693342299934,,
2021-06-03,A148070,A005,위험중립형중규모,Fixed Income,KOSEF 국고채10년,2,,,119240.0,238480.0,0.23631769310806125,,
2021-06-03,A114260,A005,위험중립형중규모,Fixed Income,KODEX 국고채3년,4,,,58020.0,232080.0,0.22997572214239706,,
