일시,아이디,자산군,평가액,투자비중
date,userid,asset_class,value,wt
1/10/2020 1:00:00 PM,A01,현금성,700000,1
1/10/2020 4:00:00 PM,A01,현금성,364555,0.519264809170842
1/10/2020 4:00:00 PM,A01,주식,85582.3,0.121901706677735
1/10/2020 4:00:00 PM,A01,채권,211799.4,0.301682805128166
1/10/2020 4:00:00 PM,A01,대체,40123.2,0.0571506790232571
2/11/2020 9:00:00 AM,A01,현금성,373065,0.529043242387784
2/11/2020 9:00:00 AM,A01,주식,95352.75,0.135219674937589
2/11/2020 9:00:00 AM,A01,채권,161906.25,0.229599151522783
2/11/2020 9:00:00 AM,A01,대체,74845.2,0.106137931151843
2/15/2020 9:00:00 AM,A02,현금성,700000,1
3/10/2020 9:00:00 AM,A03,현금성,700000,1
4/30/2020 9:00:00 AM,A04,현금성,1000000,1
5/1/2020 2:00:00 PM,A05,현금성,1000000,1
6/9/2020 1:00:00 PM,A06,현금성,1000000,1
7/9/2020 9:00:00 AM,A07,현금성,1300000,1
8/21/2020 9:00:00 AM,A08,현금성,1300000,1
9/5/2020 9:00:00 AM,A09,현금성,1300000,1
