date,itemcode,userid,name,asset_class,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,original
2021-07-02,A114260,A001,안정추구형소규모,Fixed Income,KODEX 국고채3년,2,57845,115690,57845,115690,0.16222848568984602,,Rebal
2021-07-02,A122260,A001,안정추구형소규모,Fixed Income,KOSEF 통안채1년,1,101120,101120,101120,101120,0.141797428238891,,Rebal
2021-07-02,A130730,A001,안정추구형소규모,Fixed Income,KOSEF 단기자금,2,101060,202120,101060,202120,0.283426584213257,,Rebal
2021-07-02,A196230,A001,안정추구형소규모,Fixed Income,KBSTAR 단기통안채,1,104430,104430,104430,104430,0.14643893820201098,,Rebal
2021-07-02,A273130,A001,안정추구형소규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,108635,108635,108635,108635,0.152335478804706,,Rebal
2021-07-02,A251350,A001,안정추구형소규모,Equity,KODEX 선진국MSCI World,1,19200,19200,19200,19200,0.026923562323839998,,Rebal
2021-07-02,A237370,A001,안정추구형소규모,Alternative,KODEX 배당성장채권혼합,1,12085,12085,12085,12085,0.0169464193064378,,Rebal
2021-07-02,A069500,A001,안정추구형소규모,Equity,KODEX 200,1,43640,43640,43640,43640,0.0611950135318946,,Rebal
2021-07-02,C000001,A001,안정추구형소규모,Cash,현금,6210,1,6210,1,6210,0.008708089689116991,,Rebal
2021-07-02,A114260,A002,안정추구형중규모,Fixed Income,KODEX 국고채3년,4.0,57845.0,231380.0,57845.0,231380.0,0.23068563623493285,,Rebal
2021-07-02,A122260,A002,안정추구형중규모,Fixed Income,KOSEF 통안채1년,2.0,101120.0,202240.0,101120.0,202240.0,0.2016330844159081,,Rebal
2021-07-02,A130730,A002,안정추구형중규모,Fixed Income,KOSEF 단기자금,2.0,101060.0,202120.0,101060.0,202120.0,0.2015134445319588,,Rebal
2021-07-02,A196230,A002,안정추구형중규모,Fixed Income,KBSTAR 단기통안채,1.0,104430.0,104430.0,104430.0,104430.0,0.10411660900688928,,Rebal
2021-07-02,A273130,A002,안정추구형중규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1.0,108635.0,108635.0,108635.0,108635.0,0.10830898994027977,,Rebal
2021-07-02,A069500,A002,안정추구형중규모,Equity,KODEX 200,2.0,43640.0,87280.0,43640.0,87280.0,0.08701807559246667,,Rebal
2021-07-02,A251350,A002,안정추구형중규모,Equity,KODEX 선진국MSCI World,2.0,19200.0,38400.0,19200.0,38400.0,0.03828476286378002,,Rebal
2021-07-02,A237370,A002,안정추구형중규모,Alternative,KODEX 배당성장채권혼합,2.0,12085.0,24170.0,12085.0,24170.0,0.02409746662545737,,Rebal
2021-07-02,C000001,A002,안정추구형중규모,Cash,현금,4355.0,1.0,4355.0,1.0,4355.0,0.004341930788327135,,Rebal
2021-07-02,A114260,A003,안정추구형대규모,Fixed Income,KODEX 국고채3년,5,57845.0,289225.0,57845.0,289225.0,0.22171924888747493,,Rebal
2021-07-02,A122260,A003,안정추구형대규모,Fixed Income,KOSEF 통안채1년,3,101120.0,303360.0,101120.0,303360.0,0.23255510879939287,,Rebal
2021-07-02,A130730,A003,안정추구형대규모,Fixed Income,KOSEF 단기자금,3,101060.0,303180.0,101060.0,303180.0,0.2324171211952793,,Rebal
2021-07-02,A196230,A003,안정추구형대규모,Fixed Income,KBSTAR 단기통안채,1,104430.0,104430.0,104430.0,104430.0,0.08005580831988593,,Rebal
2021-07-02,A273130,A003,안정추구형대규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,108635.0,108635.0,108635.0,108635.0,0.0832793520715389,,Rebal
2021-07-02,A069500,A003,안정추구형대규모,Equity,KODEX 200,2,43640.0,87280.0,43640.0,87280.0,0.06690865603906583,,Rebal
2021-07-02,A251350,A003,안정추구형대규모,Equity,KODEX 선진국MSCI World,3,19200.0,57600.0,19200.0,57600.0,0.044156033316340416,,Rebal
2021-07-02,A237370,A003,안정추구형대규모,Alternative,KODEX 배당성장채권혼합,3,12085.0,36255.0,12085.0,36255.0,0.02779300326187364,,Rebal
2021-07-02,C000001,A003,안정추구형대규모,Cash,현금,14500.0,1,14500.0,1,14500.0,0.011115668109148194,,Rebal
2021-07-02,A114260,A004,위험중립형소규모,Fixed Income,KODEX 국고채3년,3,57845.0,173535.0,57845.0,173535.0,0.24196348273482107,,Rebal
2021-07-02,A148070,A004,위험중립형소규모,Fixed Income,KOSEF 국고채10년,1,120435.0,120435.0,120435.0,120435.0,0.1679250413067576,,Rebal
2021-07-02,A069500,A004,위험중립형소규모,Equity,KODEX 200,3,43640.0,130920.0,43640.0,130920.0,0.1825444962667057,,Rebal
2021-07-02,A251350,A004,위험중립형소규모,Equity,KODEX 선진국MSCI World,5,19200.0,96000.0,19200.0,96000.0,0.13385480936147073,,Rebal
2021-07-02,A273130,A004,위험중립형소규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,108635.0,108635.0,108635.0,108635.0,0.15147205432274347,,Rebal
2021-07-02,A157490,A004,위험중립형소규모,Equity,TIGER 소프트웨어,3,19565.0,58695.0,19565.0,58695.0,0.08183966703616172,,Rebal
2021-07-02,A237370,A004,위험중립형소규모,Alternative,KODEX 배당성장채권혼합,2,12085.0,24170.0,12085.0,24170.0,0.03370073689861195,,Rebal
2021-07-02,C000001,A004,위험중립형소규모,Cash,현금,4805.0,1,4805.0,1,4805.0,0.0066997120727277796,,Rebal
2021-07-02,A114260,A005,위험중립형중규모,Fixed Income,KODEX 국고채3년,4,57845.0,231380.0,57845.0,231380.0,0.22547042028434724,,Rebal
2021-07-02,A148070,A005,위험중립형중규모,Fixed Income,KOSEF 국고채10년,2,120435.0,240870.0,120435.0,240870.0,0.23471804016721723,,Rebal
2021-07-02,A069500,A005,위험중립형중규모,Equity,KODEX 200,5,43640.0,218200.0,43640.0,218200.0,0.21262704514670486,,Rebal
2021-07-02,A251350,A005,위험중립형중규모,Equity,KODEX 선진국MSCI World,7,19200.0,134400.0,19200.0,134400.0,0.13096734586488146,,Rebal
2021-07-02,A273130,A005,위험중립형중규모,Fixed Income,KODEX 종합채권(AA-이상)액티브,1,108635.0,108635.0,108635.0,108635.0,0.10586039894368598,,Rebal
2021-07-02,A157490,A005,위험중립형중규모,Equity,TIGER 소프트웨어,4,19565.0,78260.0,19565.0,78260.0,0.0762611941025716,,Rebal
2021-07-02,A237370,A005,위험중립형중규모,Alternative,KODEX 배당성장채권혼합,1,12085.0,12085.0,12085.0,12085.0,0.011776342074234319,,Rebal
2021-07-02,C000001,A005,위험중립형중규모,Cash,현금,2380.0,1,2380.0,1,2380.0,0.002319213416357276,,Rebal
2021-07-02,A114260,A006,위험중립형대규모,Fixed Income,KODEX 국고채3년,5,57845.0,289225.0,57845.0,289225.0,0.21694776676380467,,Rebal
