일시,아이디,이름,자산군,종목코드,종목명,수량,매입가격,투자원금,현재가격,평가액,투자비중,,
date,userid,name,asset_class,itemcode,itemname,quantity,cost_price,cost_value,price,value,wt,group_by,투자원본
1/10/2020 1:00:00 PM,A01,투자자1,현금성,C000001,현금,800000,1,800000,1,800000,1,20200110 13:00현금성,Y
1/10/2020 4:00:00 PM,A01,투자자1,현금성,C000001,현금,7800,1,7800,1,7800,0.00974164227977659,20200110 16:00현금성,N
1/10/2020 4:00:00 PM,A01,투자자1,현금성,D000001,예금,400000,1,400000,1.01,404000,0.504567112952531,20200110 16:00현금성,N
1/10/2020 4:00:00 PM,A01,투자자1,주식,A069500,KODEX 200,1,42095,42095,42515.95,42515.95,0.053099381549342,20200110 16:00주식,N
1/10/2020 4:00:00 PM,A01,투자자1,주식,A360200,KINDEX 미국S&P500,7,10865,76055,11408.25,79857.75,0.0997366197138243,20200110 16:00주식,N
1/10/2020 4:00:00 PM,A01,투자자1,채권,A196230,KBSTAR 단기통안채,1,104325,104325,104325,104325,0.130294465492012,20200110 16:00채권,N
1/10/2020 4:00:00 PM,A01,투자자1,채권,A302190,TIGER 중장기국채,2,52365,104730,49746.75,99493.5,0.124260267456789,20200110 16:00채권,N
1/10/2020 4:00:00 PM,A01,투자자1,대체,A132030,KODEX 골드선물(H),3,11700,35100,11232,33696,0.0420838946486349,20200110 16:00대체,N
1/10/2020 4:00:00 PM,A01,투자자1,대체,A261240,KODEX 미국달러선물,3,9965,29895,9666.05,28998.15,0.0362166159070902,20200110 16:00대체,N
2/11/2020 9:00:00 AM,A01,투자자1,현금성,C000001,현금,7800,1,7800,1,7800,0.00961881618022998,20200211 09:00현금성,N
2/11/2020 9:00:00 AM,A01,투자자1,현금성,D000001,예금,400000,1,400000,1.01,404000,0.49820535087345,20200211 09:00현금성,N
2/11/2020 9:00:00 AM,A01,투자자1,주식,A069500,KODEX 200,1,42095,42095,43778.8,43778.8,0.0539872089475708,20200211 09:00주식,N
2/11/2020 9:00:00 AM,A01,투자자1,주식,A360200,KINDEX 미국S&P500,7,10865,76055,10973.65,76815.55,0.0947275199017006,20200211 09:00주식,N
2/11/2020 9:00:00 AM,A01,투자자1,채권,A196230,KBSTAR 단기통안채,1,104325,104325,108498,108498,0.133797733066999,20200211 09:00채권,N
2/11/2020 9:00:00 AM,A01,투자자1,채권,A302190,TIGER 중장기국채,2,52365,104730,52888.65,105777.3,0.130442615992441,20200211 09:00채권,N
2/11/2020 9:00:00 AM,A01,투자자1,대체,A132030,KODEX 골드선물(H),3,11700,35100,11349,34047,0.0419861326267039,20200211 09:00대체,N
2/11/2020 9:00:00 AM,A01,투자자1,대체,A261240,KODEX 미국달러선물,3,9965,29895,10064.65,30193.95,0.0372346224109045,20200211 09:00대체,N
