종목코드,종목명,추적지수코드,추적지수티커,추적지수명,자산종류상세,시장,자산군,투자자산,자산종류상세,퇴직연금 투자한도(70%),,
itemcode,itemname,tracking_code,tracking_ticker,tracking_nm,exposure_kr,market,asset_class,instruments,exposure,dc_risky_asset,strategy,issuer
C000001,현금,CASH,,,현금성,Domestic,Cash,Cash,CASH,N,,KIS
D000001,예금,DEPOSIT,,,현금성,Domestic,Cash,Deposit,DEPOSIT,N,,KIS
A069500,KODEX 200,K200,,,한국주식-대형,Domestic,Equity,ETF,EQ_M_KR_LARGE,Y,Core,KODEX
A105190,KINDEX 200,K200,,,한국주식-대형,Domestic,Equity,ETF,EQ_M_KR_LARGE,Y,Core,KINDEX
A102110,TIGER 200,K200,,,한국주식-대형,Domestic,Equity,ETF,EQ_M_KR_LARGE,Y,Core,TIGER
A232080,TIGER 코스닥150,KQ150,,,한국주식-소형,Domestic,Equity,ETF,EQ_M_KR_SMID,Y,Satellite,TIGER
A278540,KODEX MSCI Korea TR,MSCI_KR,,,한국주식-대형,Domestic,Equity,ETF,EQ_M_KR_LARGE,Y,Core,KODEX
A229200,KODEX 코스닥 150,KQ150,,,한국주식-소형,Domestic,Equity,ETF,EQ_M_KR_SMID,Y,Satellite,KODEX
A196230,KBSTAR 단기통안채,BOK_D.4,,,단기채권,Domestic,Fixed Income,ETF,MM,N,,KBSTAR
A371460,TIGER 차이나전기차SOLACTIVE,CHINA_EV,,,주식-전기차,China,Equity,ETF,EQ_S_EV,Y,Satellite,TIGER
A293180,KODEX 2차전지산업,BATTERY_FN,,,주식-베터리,Domestic,Equity,ETF,EQ_S_BAT,Y,Satellite,KODEX
A130730,KOSEF 단기자금,MM,,,단기채권,Domestic,Fixed Income,ETF,MM,N,,KOSEF
A122260,KOSEF 통안채1년,BOK_D1,,,채권-저수익,Domestic,Fixed Income,ETF,FI_D_SHORT,N,,KOSEF
A314250,KODEX 미국FANG플러스(H),FANG,,,주식-FANG,USA,Equity,ETF,EQ_S_FANG,Y,Satellite,KODEX
A139260,TIGER 200 IT,K200_IT,,,주식-정보기술,Domestic,Equity,ETF,EQ_S_IT,Y,Core,TIGER
A364980,TIGER KRX2차전지K-뉴딜,BATTERY_K,,,주식-베터리,Domestic,Equity,ETF,EQ_S_BAT,Y,Satellite,TIGER
