아이디,질문지세트번호,질문번호,답변,투자성향점수
userid,set_no,q_no,answer,risk_pref_value
A01,1,1,2,2
A01,1,2,2,2
A01,1,3,3,3
A01,1,4,3,3
A01,1,5,1,4
A01,1,6,3,4
A01,1,7,6,2
A01,1,8,2,3
A02,1,1,4,4
A02,1,2,3,4
A02,1,3,2,2
A02,1,4,2,2
A02,1,5,2,3
A02,1,6,1,2
A02,1,7,3,4
A02,1,8,3,4
A03,1,1,5,5
A03,1,2,3,5
A03,1,3,5,5
A03,1,4,2,2
A03,1,5,2,3
A03,1,6,3,4
A03,1,7,3,5
A03,1,8,4,4
A04,1,1,2,2
A04,1,2,2,2
A04,1,3,3,3
A04,1,4,3,3
A04,1,5,1,4
A04,1,6,3,4
A04,1,7,6,2
A04,1,8,2,3
A05,1,1,4,4
A05,1,2,3,4
A05,1,3,2,2
A05,1,4,2,2
A05,1,5,2,3
A05,1,6,1,2
A05,1,7,3,4
A05,1,8,3,4
A06,1,1,5,5
A06,1,2,3,5
A06,1,3,5,5
A06,1,4,2,2
A06,1,5,2,3
A06,1,6,3,4
A06,1,7,3,5
A06,1,8,4,4
A07,1,1,2,2
A07,1,2,2,2
A07,1,3,3,3
A07,1,4,3,3
A07,1,5,1,4
A07,1,6,3,4
A07,1,7,6,2
A07,1,8,2,3
A08,1,1,4,4
A08,1,2,3,4
A08,1,3,2,2
A08,1,4,2,2
A08,1,5,2,3
A08,1,6,1,2
A08,1,7,3,4
A08,1,8,3,4
A09,1,1,5,5
A09,1,2,3,5
A09,1,3,5,5
A09,1,4,2,2
A09,1,5,2,3
A09,1,6,3,4
A09,1,7,3,5
A09,1,8,4,4
