case,exposure,itemcode_old,wt_old,itemcode_new,wt_new
1,MM1,A01,0.06,A02,0.05
1,MM1,A01,0.06,A03,0.07
2,MM2,A01,0.06,A02,0.05
2,MM2,A01,0.06,A01,0.03
3,MM3,A01,0.06,A04,0.14
3,MM3,A02,0.029,A04,0.14
3,MM3,A03,0.05,A04,0.14
4,MM4,A01,0.06,A02,0.05
4,MM4,A02,0.029,A02,0.05
4,MM4,A03,0.05,A02,0.05
5,MM5,A01,0.06,A04,0.14
5,MM5,A02,0.029,A05,0.25
5,MM5,A03,0.05,A05,0.25
5,MM5,A03,0.05,A05,0.25
5,MM5,A03,0.05,A05,0.25
5,MM5,A03,0.05,A05,0.25
6,MM6,A01,0.06,A02,0.05
6,MM6,A02,0.029,A04,0.14
6,MM6,A03,0.05,A04,0.14
6,MM6,A03,0.05,A04,0.14
6,MM6,A03,0.05,A04,0.14
6,MM6,A03,0.05,A04,0.14
7,MM7,A01,0.06,A03,0.07
7,MM7,A02,0.029,A04,0.14
7,MM7,A02,0.029,A05,0.25
7,MM7,A02,0.029,A05,0.25
7,MM7,A02,0.029,A05,0.25
7,MM7,A02,0.029,A05,0.25
8,MM8,A01,0.06,A01,0.03
8,MM8,A02,0.029,A02,0.05
8,MM8,A02,0.029,A04,0.14
8,MM8,A02,0.029,A04,0.14
8,MM8,A02,0.029,A04,0.14
8,MM8,A02,0.029,A04,0.14
